mfr_id,mfr_name,mfr_region,dhis2_id,dhis2_name,dhis2_region,linktransformer_score,text_a,text_b
MFR_000013,addis ababa hospital,Oromia,DHIS2_000317,addis ababa clinic,Oromia,0.7509818077087402,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa clinic woreda:Adama region:Oromia zone:Zone 1
MFR_000013,addis ababa hospital,Oromia,DHIS2_000491,addis ababa general hospital,Oromia,0.7006344199180603,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa general hospital woreda:Adama region:Oromia zone:Zone 2
MFR_000013,addis ababa hospital,Oromia,DHIS2_000313,addis ababa hospitalital,Oromia,0.7322942018508911,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa hospitalital woreda:Bishoftu region:Oromia zone:Zone 2
MFR_000013,addis ababa hospital,Oromia,DHIS2_000382,addis ababa health post,Oromia,0.7249468564987183,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa health post woreda:Adama region:Oromia zone:Zone 1
MFR_000013,addis ababa hospital,Oromia,DHIS2_000400,addis ababa health post,Oromia,0.6321930289268494,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa health post woreda:Dire Dawa region:Oromia zone:Zone 4
MFR_000013,addis ababa hospital,Oromia,DHIS2_000013,addis ababa hospitalital,Oromia,0.9607501029968262,addis ababa hospital woreda:Modjo region:Oromia zone:Zone 1,addis ababa hospitalital woreda:Modjo region:Oromia zone:Zone 1
MFR_000014,dukem health post,Oromia,DHIS2_000448,dukem health post,Oromia,0.7593739628791809,dukem health post woreda:Dukem region:Oromia zone:Zone 4,dukem health post woreda:Dukem region:Oromia zone:Zone 3
MFR_000015,modjo health post,Addis Ababa,DHIS2_000211,modjo health post,Addis Ababa,0.7096115350723267,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4,modjo health post woreda:Addis Ketema region:Addis Ababa zone:Zone 2
MFR_000015,modjo health post,Addis Ababa,DHIS2_000060,modjo health center,Addis Ababa,0.6598981022834778,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4,modjo health center woreda:Kirkos region:Addis Ababa zone:Zone 5
MFR_000015,modjo health post,Addis Ababa,DHIS2_000381,modj health post,Addis Ababa,0.7772390842437744,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4,modj health post woreda:Kirkos region:Addis Ababa zone:Zone 4
MFR_000015,modjo health post,Addis Ababa,DHIS2_000413,modjo health post,Addis Ababa,0.6969648003578186,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4,modjo health post woreda:Nifas Silk region:Addis Ababa zone:Zone 2
MFR_000015,modjo health post,Addis Ababa,DHIS2_000015,modjo health post,Addis Ababa,0.9763038754463196,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4,modjo health post woreda:Arada region:Addis Ababa zone:Zone 4
MFR_000016,gondar dispensary,SNNPR,DHIS2_000040,gondar referral hospital,SNNPR,0.7545649409294128,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar referral hospital woreda:Butajira region:SNNPR zone:Zone 3
MFR_000016,gondar dispensary,SNNPR,DHIS2_000027,gondar hospital,SNNPR,0.8680866956710815,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3
MFR_000016,gondar dispensary,SNNPR,DHIS2_000405,gondar hospitalital,SNNPR,0.8100361824035645,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar hospitalital woreda:Hosaena region:SNNPR zone:Zone 3
MFR_000016,gondar dispensary,SNNPR,DHIS2_000259,gondar clinic,SNNPR,0.8785582184791565,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar clinic woreda:Hawassa region:SNNPR zone:Zone 3
MFR_000016,gondar dispensary,SNNPR,DHIS2_000225,gondar health post,SNNPR,0.49552780389785767,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar health post woreda:Butajira region:SNNPR zone:Zone 5
MFR_000016,gondar dispensary,SNNPR,DHIS2_000286,gonda referral hospitalital,SNNPR,0.5517621040344238,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gonda referral hospitalital woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000016,gondar dispensary,SNNPR,DHIS2_000243,gondar general hospital,SNNPR,0.6638286709785461,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar general hospital woreda:Hawassa region:SNNPR zone:Zone 5
MFR_000016,gondar dispensary,SNNPR,DHIS2_000255,gondar health center,SNNPR,0.5895244479179382,gondar dispensary woreda:Hawassa region:SNNPR zone:Zone 3,gondar health center woreda:Butajira region:SNNPR zone:Zone 2
MFR_000017,adama general hospital,Oromia,DHIS2_000017,adama general hospitalital,Oromia,0.9682168364524841,adama general hospital woreda:Bishoftu region:Oromia zone:Zone 1,adama general hospitalital woreda:Bishoftu region:Oromia zone:Zone 1
MFR_000017,adama general hospital,Oromia,DHIS2_000393,adama general hospital,Oromia,0.6611695885658264,adama general hospital woreda:Bishoftu region:Oromia zone:Zone 1,adama general hospital woreda:Adama region:Oromia zone:Zone 3
MFR_000017,adama general hospital,Oromia,DHIS2_000005,adam general hospital,Oromia,0.7253143191337585,adama general hospital woreda:Bishoftu region:Oromia zone:Zone 1,adam general hospital woreda:Dire Dawa region:Oromia zone:Zone 1
MFR_000017,adama general hospital,Oromia,DHIS2_000172,adam clinic,Oromia,0.6060543656349182,adama general hospital woreda:Bishoftu region:Oromia zone:Zone 1,adam clinic woreda:Adama region:Oromia zone:Zone 4
MFR_000017,adama general hospital,Oromia,DHIS2_000136,adam general hospitalital,Oromia,0.6144692301750183,adama general hospital woreda:Bishoftu region:Oromia zone:Zone 1,adam general hospitalital woreda:Dukem region:Oromia zone:Zone 3
MFR_000018,hosaena referral hospital,Addis Ababa,DHIS2_000073,hosaena referral hospital,Addis Ababa,0.5443357229232788,hosaena referral hospital woreda:Nifas Silk region:Addis Ababa zone:Zone 3,hosaena referral hospital woreda:Arada region:Addis Ababa zone:Zone 5
MFR_000018,hosaena referral hospital,Addis Ababa,DHIS2_000018,hosaena referral hospitalital,Addis Ababa,0.9149234294891357,hosaena referral hospital woreda:Nifas Silk region:Addis Ababa zone:Zone 3,hosaena referral hospitalital woreda:Nifas Silk region:Addis Ababa zone:Zone 3
MFR_000018,hosaena referral hospital,Addis Ababa,DHIS2_000443,hosaena hospitalital,Addis Ababa,0.49352529644966125,hosaena referral hospital woreda:Nifas Silk region:Addis Ababa zone:Zone 3,hosaena hospitalital woreda:Lideta region:Addis Ababa zone:Zone 1
MFR_000019,modjo referral hospital,Amhara,DHIS2_000019,modj referral hospitalital,Amhara,0.8924247026443481,modjo referral hospital woreda:Mekelle region:Amhara zone:Zone 1,modj referral hospitalital woreda:Mekelle region:Amhara zone:Zone 1
MFR_000019,modjo referral hospital,Amhara,DHIS2_000336,modjo referral hospital,Amhara,0.6888285279273987,modjo referral hospital woreda:Mekelle region:Amhara zone:Zone 1,modjo referral hospital woreda:Dessie region:Amhara zone:Zone 3
MFR_000020,gondar general hospital,Amhara,DHIS2_000466,gonda referral hospital,Amhara,0.5289332866668701,gondar general hospital woreda:Mekelle region:Amhara zone:Zone 3,gonda referral hospital woreda:Bahir Dar region:Amhara zone:Zone 5
MFR_000020,gondar general hospital,Amhara,DHIS2_000020,gondar general hospitalital,Amhara,0.9218401908874512,gondar general hospital woreda:Mekelle region:Amhara zone:Zone 3,gondar general hospitalital woreda:Mekelle region:Amhara zone:Zone 3
MFR_000020,gondar general hospital,Amhara,DHIS2_000178,gondar referral hospitalital,Amhara,0.6064704656600952,gondar general hospital woreda:Mekelle region:Amhara zone:Zone 3,gondar referral hospitalital woreda:Bahir Dar region:Amhara zone:Zone 2
MFR_000020,gondar general hospital,Amhara,DHIS2_000488,gondar clinic,Amhara,0.6072102785110474,gondar general hospital woreda:Mekelle region:Amhara zone:Zone 3,gondar clinic woreda:Gondar region:Amhara zone:Zone 4
MFR_000020,gondar general hospital,Amhara,DHIS2_000029,gondar health post,Amhara,0.7333285212516785,gondar general hospital woreda:Mekelle region:Amhara zone:Zone 3,gondar health post woreda:Mekelle region:Amhara zone:Zone 2
MFR_000021,bahir dar referral hospital,SNNPR,DHIS2_000279,bahir dar general hospitalital,SNNPR,0.9028071165084839,bahir dar referral hospital woreda:Hosaena region:SNNPR zone:Zone 2,bahir dar general hospitalital woreda:Hosaena region:SNNPR zone:Zone 2
MFR_000021,bahir dar referral hospital,SNNPR,DHIS2_000465,bahir dar health center,SNNPR,0.8691267371177673,bahir dar referral hospital woreda:Hosaena region:SNNPR zone:Zone 2,bahir dar health center woreda:Hosaena region:SNNPR zone:Zone 2
MFR_000021,bahir dar referral hospital,SNNPR,DHIS2_000137,bahir dar health post,SNNPR,0.6958310008049011,bahir dar referral hospital woreda:Hosaena region:SNNPR zone:Zone 2,bahir dar health post woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000021,bahir dar referral hospital,SNNPR,DHIS2_000485,bahir dar general hospitalital,SNNPR,0.8688169121742249,bahir dar referral hospital woreda:Hosaena region:SNNPR zone:Zone 2,bahir dar general hospitalital woreda:Arba Minch region:SNNPR zone:Zone 2
MFR_000021,bahir dar referral hospital,SNNPR,DHIS2_000268,bahir dar dispensary,SNNPR,0.6149188280105591,bahir dar referral hospital woreda:Hosaena region:SNNPR zone:Zone 2,bahir dar dispensary woreda:Arba Minch region:SNNPR zone:Zone 5
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000064,nifas silk hospital,Amhara,0.763228714466095,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk hospital woreda:Bahir Dar region:Amhara zone:Zone 5
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000330,nifas silk health center,Amhara,0.5584912896156311,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk health center woreda:Bahir Dar region:Amhara zone:Zone 2
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000455,nifas silk dispensary,Amhara,0.5297789573669434,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk dispensary woreda:Gondar region:Amhara zone:Zone 1
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000229,nifas silk health post,Amhara,0.5145638585090637,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk health post woreda:Mekelle region:Amhara zone:Zone 2
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000126,nifas silk clinic,Amhara,0.68824303150177,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk clinic woreda:Dessie region:Amhara zone:Zone 1
MFR_000022,nifas silk general hospital,Amhara,DHIS2_000028,nifas silk clinic,Amhara,0.6008203625679016,nifas silk general hospital woreda:Dessie region:Amhara zone:Zone 5,nifas silk clinic woreda:Mekelle region:Amhara zone:Zone 4
MFR_000023,modjo health center,SNNPR,DHIS2_000023,modjo health center,SNNPR,0.9459230303764343,modjo health center woreda:Hosaena region:SNNPR zone:Zone 3,modjo health center woreda:Hosaena region:SNNPR zone:Zone 3
MFR_000023,modjo health center,SNNPR,DHIS2_000056,modjo health post,SNNPR,0.7114081978797913,modjo health center woreda:Hosaena region:SNNPR zone:Zone 3,modjo health post woreda:Hawassa region:SNNPR zone:Zone 4
MFR_000023,modjo health center,SNNPR,DHIS2_000239,modj health center,SNNPR,0.6908514499664307,modjo health center woreda:Hosaena region:SNNPR zone:Zone 3,modj health center woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000023,modjo health center,SNNPR,DHIS2_000433,modjo health center,SNNPR,0.6979321837425232,modjo health center woreda:Hosaena region:SNNPR zone:Zone 3,modjo health center woreda:Hawassa region:SNNPR zone:Zone 1
MFR_000024,dukem health post,Amhara,DHIS2_000024,dukem health post,Amhara,0.9483635425567627,dukem health post woreda:Gondar region:Amhara zone:Zone 1,dukem health post woreda:Gondar region:Amhara zone:Zone 1
MFR_000024,dukem health post,Amhara,DHIS2_000008,dukem health post,Amhara,0.6895977258682251,dukem health post woreda:Gondar region:Amhara zone:Zone 1,dukem health post woreda:Dessie region:Amhara zone:Zone 4
MFR_000024,dukem health post,Amhara,DHIS2_000128,dukem health center,Amhara,0.6572337746620178,dukem health post woreda:Gondar region:Amhara zone:Zone 1,dukem health center woreda:Dessie region:Amhara zone:Zone 4
MFR_000025,hosaena health center,Amhara,DHIS2_000025,hosaena health center,Amhara,0.9392213225364685,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2
MFR_000025,hosaena health center,Amhara,DHIS2_000119,hosaena general hospitalital,Amhara,0.6993128657341003,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2,hosaena general hospitalital woreda:Bahir Dar region:Amhara zone:Zone 2
MFR_000025,hosaena health center,Amhara,DHIS2_000104,hosaena health post,Amhara,0.5940237641334534,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2,hosaena health post woreda:Dessie region:Amhara zone:Zone 4
MFR_000025,hosaena health center,Amhara,DHIS2_000303,hosaena health post,Amhara,0.5784399509429932,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2,hosaena health post woreda:Gondar region:Amhara zone:Zone 5
MFR_000025,hosaena health center,Amhara,DHIS2_000062,hosaen health post,Amhara,0.6850211024284363,hosaena health center woreda:Mekelle region:Amhara zone:Zone 2,hosaen health post woreda:Dessie region:Amhara zone:Zone 2
MFR_000026,dire dawa general hospital,Oromia,DHIS2_000462,dir dawa general hospitalital,Oromia,0.6091907024383545,dire dawa general hospital woreda:Dukem region:Oromia zone:Zone 4,dir dawa general hospitalital woreda:Dire Dawa region:Oromia zone:Zone 1
MFR_000026,dire dawa general hospital,Oromia,DHIS2_000132,dire dawa hospitalital,Oromia,0.6247670650482178,dire dawa general hospital woreda:Dukem region:Oromia zone:Zone 4,dire dawa hospitalital woreda:Adama region:Oromia zone:Zone 3
MFR_000026,dire dawa general hospital,Oromia,DHIS2_000026,dire dawa general hospitalital,Oromia,0.9564467668533325,dire dawa general hospital woreda:Dukem region:Oromia zone:Zone 4,dire dawa general hospitalital woreda:Dukem region:Oromia zone:Zone 4
MFR_000026,dire dawa general hospital,Oromia,DHIS2_000207,dire dawa dispensary,Oromia,0.5679400563240051,dire dawa general hospital woreda:Dukem region:Oromia zone:Zone 4,dire dawa dispensary woreda:Dire Dawa region:Oromia zone:Zone 2
MFR_000027,gondar hospital,SNNPR,DHIS2_000040,gondar referral hospital,SNNPR,0.8406968712806702,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar referral hospital woreda:Butajira region:SNNPR zone:Zone 3
MFR_000027,gondar hospital,SNNPR,DHIS2_000027,gondar hospital,SNNPR,0.9500149488449097,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3
MFR_000027,gondar hospital,SNNPR,DHIS2_000405,gondar hospitalital,SNNPR,0.8682520985603333,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar hospitalital woreda:Hosaena region:SNNPR zone:Zone 3
MFR_000027,gondar hospital,SNNPR,DHIS2_000259,gondar clinic,SNNPR,0.9279991388320923,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar clinic woreda:Hawassa region:SNNPR zone:Zone 3
MFR_000027,gondar hospital,SNNPR,DHIS2_000225,gondar health post,SNNPR,0.5811059474945068,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar health post woreda:Butajira region:SNNPR zone:Zone 5
MFR_000027,gondar hospital,SNNPR,DHIS2_000286,gonda referral hospitalital,SNNPR,0.6012575626373291,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gonda referral hospitalital woreda:Hosaena region:SNNPR zone:Zone 1
MFR_000027,gondar hospital,SNNPR,DHIS2_000243,gondar general hospital,SNNPR,0.752009391784668,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar general hospital woreda:Hawassa region:SNNPR zone:Zone 5
MFR_000027,gondar hospital,SNNPR,DHIS2_000255,gondar health center,SNNPR,0.6995427012443542,gondar hospital woreda:Hawassa region:SNNPR zone:Zone 3,gondar health center woreda:Butajira region:SNNPR zone:Zone 2
MFR_000028,nifas silk clinic,Amhara,DHIS2_000064,nifas silk hospital,Amhara,0.6276276707649231,nifas silk clinic woreda:Mekelle region:Amhara zone:Zone 4,nifas silk hospital woreda:Bahir Dar region:Amhara zone:Zone 5
MFR_000028,nifas silk clinic,Amhara,DHIS2_000330,nifas silk health center,Amhara,0.6026052236557007,nifas silk clinic woreda:Mekelle region:Amhara zone:Zone 4,nifas silk health center woreda:Bahir Dar region:Amhara zone:Zone 2
MFR_000028,nifas silk clinic,Amhara,DHIS2_000455,nifas silk dispensary,Amhara,0.5587508082389832,nifas silk clinic woreda:Mekelle region:Amhara zone:Zone 4,nifas silk dispensary woreda:Gondar region:Amhara zone:Zone 1
MFR_000028,nifas silk clinic,Amhara,DHIS2_000093,nifa silk referral hospital,Amhara,0.5524795651435852,nifas silk clinic woreda:Mekelle region:Amhara zone:Zone 4,nifa silk referral hospital woreda:Gondar region:Amhara zone:Zone 1
