facility_id,facility_name,region,woreda,zone,facility_type,phone,latitude,longitude,owner_type,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
DHIS2_000496,Dessi Referral Hospital,Amhara,Bahir Dar,Zone 4,Referral Hospital,09555143490,4.579843065519101,45.820551751397964,NGO,Dessi Referral Hospital,Dessi Referral Hospital,dessi referral hospital,D261,amhara,zone 4,bahir dar
DHIS2_000031,Butajir Clinic,Addis Ababa,Addis Ketema,Zone 4,Clinic,09158491183,13.190680925930135,42.86419338450515,NGO,Butajir Clinic,Butajir Clinic,butajir clinic,B326,addis ababa,zone 4,addis ketema
DHIS2_000317,Addis Ababa Clinic,Oromia,Adama,Zone 1,Clinic,09122545745,10.609248376515975,34.0639832420066,Public,Addis Ababa Clinic,Addis Ababa Clinic,addis ababa clinic,A321,oromia,zone 1,adama
DHIS2_000409,Dire Dawa Health Post,Oromia,Adama,Zone 3,HP,09251701479,14.66903998848124,39.73220468619909,Private,Dire Dawa Health Post,Dire Dawa Health Post,dire dawa health post,D634,oromia,zone 3,adama
DHIS2_000491,Addis Ababa General Hospital,Oromia,Adama,Zone 2,General Hospital,09712873524,14.810813990813207,38.93561945360689,Public,Addis Ababa General Hospital,Addis Ababa General Hospital,addis ababa general hospital,A321,oromia,zone 2,adama
DHIS2_000492,Adam HC,SNNPR,Hawassa,Zone 5,HC,09760448489,11.006548046330172,44.655739284776345,Public,Adam HC,Adam Health Center,adam health center,A354,snnpr,zone 5,hawassa
DHIS2_000281,Hawassa Health Center,Addis Ababa,Addis Ketema,Zone 3,Health Center,09768835615,12.262292714179456,34.2963691614382,NGO,Hawassa Health Center,Hawassa Health Center,hawassa health center,H243,addis ababa,zone 3,addis ketema
DHIS2_000357,Hosaena Health Center,Addis Ababa,Arada,Zone 3,Health Center,09551846292,9.587765393299701,36.28910942885813,Public,Hosaena Health Center,Hosaena Health Center,hosaena health center,H254,addis ababa,zone 3,arada
DHIS2_000077,Kirkos Health Center,Addis Ababa,Arada,Zone 2,HC,09872468859,12.660536010232342,46.547265880149396,Private,Kirkos Health Center,Kirkos Health Center,kirkos health center,K622,addis ababa,zone 2,arada
DHIS2_000462,Dir Dawa General Hospitalital,Oromia,Dire Dawa,Zone 1,General Hospital,09620431929,10.949807363299298,38.20443989601838,NGO,Dir Dawa General Hospitalital,Dir Dawa General Hospitalital,dir dawa general hospitalital,D632,oromia,zone 1,dire dawa
DHIS2_000498,Dir Dawa Health Post,SNNPR,Arba Minch,Zone 5,Health Post,09315887774,13.72782246056353,38.06220488512347,NGO,Dir Dawa Health Post,Dir Dawa Health Post,dir dawa health post,D634,snnpr,zone 5,arba minch
DHIS2_000212,Kirko Health Post,Addis Ababa,Addis Ketema,Zone 2,HP,09443978658,11.0411524153313,46.94408816132984,Private,Kirko Health Post,Kirko Health Post,kirko health post,K624,addis ababa,zone 2,addis ketema
DHIS2_000102,Adama Health Center,Oromia,Adama,Zone 3,Health Center,09627691444,13.794894879294821,38.75836832059817,NGO,Adama Health Center,Adama Health Center,adama health center,A354,oromia,zone 3,adama
DHIS2_000335,Addis Ababa HC,Addis Ababa,Addis Ketema,Zone 3,HC,09312846274,8.827076395912773,33.41305079804198,Public,Addis Ababa HC,Addis Ababa Health Center,addis ababa health center,A321,addis ababa,zone 3,addis ketema
DHIS2_000476,Modjo Hospital,Amhara,Bahir Dar,Zone 1,Hospital,09484282741,14.947573313986602,47.71676861801904,Private,Modjo Hospital,Modjo Hospital,modjo hospital,M322,amhara,zone 1,bahir dar
DHIS2_000337,Gondar Hospitalital,Oromia,Dire Dawa,Zone 3,Hospital,09416299492,13.025762836587932,38.5559547941296,NGO,Gondar Hospitalital,Gondar Hospitalital,gondar hospitalital,G536,oromia,zone 3,dire dawa
DHIS2_000441,Hawassa General Hospital,Amhara,Bahir Dar,Zone 4,General Hospital,09381648034,11.646786583732874,45.39732135293644,Public,Hawassa General Hospital,Hawassa General Hospital,hawassa general hospital,H225,amhara,zone 4,bahir dar
DHIS2_000174,Kirko Clinic,Amhara,Mekelle,Zone 1,Clinic,09664856856,14.050174173788243,42.24975471781107,Private,Kirko Clinic,Kirko Clinic,kirko clinic,K622,amhara,zone 1,mekelle
DHIS2_000003,Bahi Dar Hospital,SNNPR,Hosaena,Zone 3,Hospital,09552860080,10.409778115532598,42.17479740732421,NGO,Bahi Dar Hospital,Bahi Dar Hospital,bahi dar hospital,B362,snnpr,zone 3,hosaena
DHIS2_000334,Modjo Health Center,Amhara,Gondar,Zone 4,Health Center,09899523105,4.215118975381907,45.70709234540678,Private,Modjo Health Center,Modjo Health Center,modjo health center,M324,amhara,zone 4,gondar
DHIS2_000410,Hosaen Dispensary,Addis Ababa,Kirkos,Zone 5,Dispensary,09583746504,6.288859072106292,45.10606355800054,Private,Hosaen Dispensary,Hosaen Dispensary,hosaen dispensary,H253,addis ababa,zone 5,kirkos
DHIS2_000071,Dessi Hospitalital,SNNPR,Butajira,Zone 1,Hospital,09159907857,3.316403693967024,38.64695050317074,NGO,Dessi Hospitalital,Dessi Hospitalital,dessi hospitalital,D221,snnpr,zone 1,butajira
DHIS2_000210,Hawassa Hospitalital,SNNPR,Hosaena,Zone 4,Hospital,09747710964,5.349335828202554,33.11344312467213,NGO,Hawassa Hospitalital,Hawassa Hospitalital,hawassa hospitalital,H221,snnpr,zone 4,hosaena
DHIS2_000064,Nifas Silk Hospital,Amhara,Bahir Dar,Zone 5,Hospital,09861152700,14.558670473287336,33.18231712034724,Private,Nifas Silk Hospital,Nifas Silk Hospital,nifas silk hospital,N122,amhara,zone 5,bahir dar
DHIS2_000385,Dessie Health Post,SNNPR,Hosaena,Zone 4,Health Post,09490440554,4.988997357841871,39.68312458112836,Public,Dessie Health Post,Dessie Health Post,dessie health post,D243,snnpr,zone 4,hosaena
DHIS2_000094,Butajira Health Post,Oromia,Modjo,Zone 4,Health Post,09258014453,13.062990704431497,36.07616340224189,NGO,Butajira Health Post,Butajira Health Post,butajira health post,B326,oromia,zone 4,modjo
DHIS2_000486,Gondar HC,Addis Ababa,Nifas Silk,Zone 4,HC,09236632954,3.8524186685280255,36.16189652325043,Private,Gondar HC,Gondar Health Center,gondar health center,G536,addis ababa,zone 4,nifas silk
DHIS2_000186,Dessie Referral Hospitalital,Oromia,Dire Dawa,Zone 5,Referral Hospital,09487066032,3.3678300264696728,36.8652433276682,NGO,Dessie Referral Hospitalital,Dessie Referral Hospitalital,dessie referral hospitalital,D261,oromia,zone 5,dire dawa
DHIS2_000034,Kirkos Referral Hospitalital,Addis Ababa,Lideta,Zone 1,Referral Hospital,09888384476,7.441904403065333,33.23184924793301,Private,Kirkos Referral Hospitalital,Kirkos Referral Hospitalital,kirkos referral hospitalital,K622,addis ababa,zone 1,lideta
DHIS2_000078,Hawass Health Post,SNNPR,Hosaena,Zone 4,Health Post,09667597408,13.84990433392498,38.22383200534951,Private,Hawass Health Post,Hawass Health Post,hawass health post,H243,snnpr,zone 4,hosaena
DHIS2_000001,Dessie Clinic,Oromia,Bishoftu,Zone 3,Clinic,09336735830,10.18390181036444,35.34027960663655,NGO,Dessie Clinic,Dessie Clinic,dessie clinic,D224,oromia,zone 3,bishoftu
DHIS2_000012,Butajira Hospitalital,Addis Ababa,Lideta,Zone 3,Hospital,09324881728,11.75527414005677,42.563362070328196,Public,Butajira Hospitalital,Butajira Hospitalital,butajira hospitalital,B326,addis ababa,zone 3,lideta
DHIS2_000416,Adama Health Post,Oromia,Dukem,Zone 3,HP,09226796693,11.125828949492083,42.37543779127809,Public,Adama Health Post,Adama Health Post,adama health post,A354,oromia,zone 3,dukem
DHIS2_000023,Modjo Health Center,SNNPR,Hosaena,Zone 3,Health Center,09850910172,4.808610527585154,40.62298165111078,NGO,Modjo Health Center,Modjo Health Center,modjo health center,M324,snnpr,zone 3,hosaena
DHIS2_000073,Hosaena Referral Hospital,Addis Ababa,Arada,Zone 5,Referral Hospital,09539702914,11.300572766026944,41.015194125441944,NGO,Hosaena Referral Hospital,Hosaena Referral Hospital,hosaena referral hospital,H256,addis ababa,zone 5,arada
DHIS2_000183,Bahir Dar HC,Oromia,Adama,Zone 5,HC,09555221400,3.7242250078867656,36.706548510152196,NGO,Bahir Dar HC,Bahir Dar Health Center,bahir dar health center,B636,oromia,zone 5,adama
DHIS2_000132,Dire Dawa Hospitalital,Oromia,Adama,Zone 3,Hospital,09541970599,10.237825313596659,36.680236645219814,Public,Dire Dawa Hospitalital,Dire Dawa Hospitalital,dire dawa hospitalital,D632,oromia,zone 3,adama
DHIS2_000411,Bol Hospital,SNNPR,Arba Minch,Zone 5,Hospital,09473588207,13.278446684975123,43.5175479238539,NGO,Bol Hospital,Bol Hospital,bol hospital,B421,snnpr,zone 5,arba minch
DHIS2_000194,Butajira Health Center,Addis Ababa,Addis Ketema,Zone 3,Health Center,09433284856,6.030333384905031,38.38876121874368,Public,Butajira Health Center,Butajira Health Center,butajira health center,B326,addis ababa,zone 3,addis ketema
DHIS2_000056,Modjo Health Post,SNNPR,Hawassa,Zone 4,Health Post,09124573458,7.670420144809958,33.162564772204476,Public,Modjo Health Post,Modjo Health Post,modjo health post,M324,snnpr,zone 4,hawassa
DHIS2_000149,Addi Ababa Dispensary,Oromia,Adama,Zone 5,Dispensary,09281894820,11.155767392316838,36.27380831797596,Public,Addi Ababa Dispensary,Addi Ababa Dispensary,addi ababa dispensary,A311,oromia,zone 5,adama
DHIS2_000019,Modj Referral Hospitalital,Amhara,Mekelle,Zone 1,Referral Hospital,09495382256,5.625170634876843,41.37153003026012,Private,Modj Referral Hospitalital,Modj Referral Hospitalital,modj referral hospitalital,M326,amhara,zone 1,mekelle
DHIS2_000205,Dessie Referral Hospitalital,Amhara,Dessie,Zone 5,Referral Hospital,09662764241,6.924397938758864,43.01390078345377,Public,Dessie Referral Hospitalital,Dessie Referral Hospitalital,dessie referral hospitalital,D261,amhara,zone 5,dessie
DHIS2_000079,Dire Dawa Health Center,Oromia,Dukem,Zone 4,Health Center,09891251088,14.394247483891705,35.206102213935566,Public,Dire Dawa Health Center,Dire Dawa Health Center,dire dawa health center,D634,oromia,zone 4,dukem
DHIS2_000495,Kirko Referral Hospitalital,Addis Ababa,Bole,Zone 4,Referral Hospital,09294805214,9.812727815172655,41.68971699992907,NGO,Kirko Referral Hospitalital,Kirko Referral Hospitalital,kirko referral hospitalital,K626,addis ababa,zone 4,bole
DHIS2_000263,Addis Ababa Hospital,Amhara,Mekelle,Zone 2,Hospital,09330686655,13.577409356100256,37.168531458733014,Private,Addis Ababa Hospital,Addis Ababa Hospital,addis ababa hospital,A321,amhara,zone 2,mekelle
DHIS2_000324,Kirkos Clinic,Amhara,Dessie,Zone 1,Clinic,09642672748,13.354566034948949,33.03155764763825,NGO,Kirkos Clinic,Kirkos Clinic,kirkos clinic,K622,amhara,zone 1,dessie
DHIS2_000484,Kirko Health Center,Oromia,Bishoftu,Zone 5,Health Center,09824058702,10.471566403183896,47.600739287472315,Private,Kirko Health Center,Kirko Health Center,kirko health center,K624,oromia,zone 5,bishoftu
DHIS2_000080,Kirkos HC,SNNPR,Hosaena,Zone 1,HC,09867395058,6.945019323450099,42.50101281475089,NGO,Kirkos HC,Kirkos Health Center,kirkos health center,K622,snnpr,zone 1,hosaena
DHIS2_000040,Gondar Referral Hospital,SNNPR,Butajira,Zone 3,Referral Hospital,09442576169,10.089999126828129,33.45750374908574,Public,Gondar Referral Hospital,Gondar Referral Hospital,gondar referral hospital,G536,snnpr,zone 3,butajira
DHIS2_000452,Kirkos Health Center,Oromia,Dire Dawa,Zone 1,Health Center,09765927604,11.146772700934086,44.5948008195838,Public,Kirkos Health Center,Kirkos Health Center,kirkos health center,K622,oromia,zone 1,dire dawa
DHIS2_000047,Kirkos General Hospitalital,SNNPR,Arba Minch,Zone 2,General Hospital,09582193785,7.1556518530728095,39.97010719409417,Private,Kirkos General Hospitalital,Kirkos General Hospitalital,kirkos general hospitalital,K622,snnpr,zone 2,arba minch
DHIS2_000239,Modj Health Center,SNNPR,Hosaena,Zone 1,HC,09197746642,3.6933667319563996,43.425528432878295,NGO,Modj Health Center,Modj Health Center,modj health center,M324,snnpr,zone 1,hosaena
DHIS2_000392,Adam Health Post,Addis Ababa,Nifas Silk,Zone 3,Health Post,09442791816,13.735713570931615,33.00664172155812,Private,Adam Health Post,Adam Health Post,adam health post,A354,addis ababa,zone 3,nifas silk
DHIS2_000353,Kirkos Dispensary,Amhara,Mekelle,Zone 1,Dispensary,09255759166,12.193391193547034,45.68882159516598,Private,Kirkos Dispensary,Kirkos Dispensary,kirkos dispensary,K622,amhara,zone 1,mekelle
DHIS2_000342,Dire Dawa HC,Amhara,Bahir Dar,Zone 4,HC,09177980386,8.866773981509416,39.02668200981486,Private,Dire Dawa HC,Dire Dawa Health Center,dire dawa health center,D634,amhara,zone 4,bahir dar
DHIS2_000278,Gondar Dispensary,Addis Ababa,Lideta,Zone 4,Dispensary,09467563860,12.016501032348549,42.854327344007096,Private,Gondar Dispensary,Gondar Dispensary,gondar dispensary,G536,addis ababa,zone 4,lideta
DHIS2_000291,Dire Dawa Referral Hospitalital,SNNPR,Arba Minch,Zone 3,Referral Hospital,09333278769,7.463192015002378,39.77545228847524,NGO,Dire Dawa Referral Hospitalital,Dire Dawa Referral Hospitalital,dire dawa referral hospitalital,D636,snnpr,zone 3,arba minch
DHIS2_000318,Dukem Clinic,Amhara,Dessie,Zone 5,Clinic,09190947292,5.866279924823132,40.044626620210636,Public,Dukem Clinic,Dukem Clinic,dukem clinic,D252,amhara,zone 5,dessie
DHIS2_000305,Dire Dawa Health Center,Oromia,Dukem,Zone 2,Health Center,09384042970,13.490720689660218,33.00282599334873,Private,Dire Dawa Health Center,Dire Dawa Health Center,dire dawa health center,D634,oromia,zone 2,dukem
DHIS2_000269,Dukem General Hospital,Oromia,Dire Dawa,Zone 2,General Hospital,09896835361,11.43532129174412,33.79205940702792,NGO,Dukem General Hospital,Dukem General Hospital,dukem general hospital,D252,oromia,zone 2,dire dawa
DHIS2_000070,Nifas Silk Health Center,Oromia,Dire Dawa,Zone 2,HC,09161509697,7.99966869286175,41.7174393177124,Private,Nifas Silk Health Center,Nifas Silk Health Center,nifas silk health center,N122,oromia,zone 2,dire dawa
DHIS2_000456,Modj Hospitalital,Oromia,Modjo,Zone 2,Hospital,09278602415,7.916870837315269,42.71661349425513,Private,Modj Hospitalital,Modj Hospitalital,modj hospitalital,M322,oromia,zone 2,modjo
DHIS2_000466,Gonda Referral Hospital,Amhara,Bahir Dar,Zone 5,Referral Hospital,09358852189,9.39901679134923,42.55142575566491,Public,Gonda Referral Hospital,Gonda Referral Hospital,gonda referral hospital,G536,amhara,zone 5,bahir dar
DHIS2_000155,Bole Hospital,Addis Ababa,Bole,Zone 5,Hospital,09329391451,4.0978420487730585,46.1619129394557,Public,Bole Hospital,Bole Hospital,bole hospital,B421,addis ababa,zone 5,bole
DHIS2_000083,Addis Ababa Hospitalital,Addis Ababa,Lideta,Zone 2,Hospital,09226099248,8.52934521639271,36.095005776086886,Public,Addis Ababa Hospitalital,Addis Ababa Hospitalital,addis ababa hospitalital,A321,addis ababa,zone 2,lideta
DHIS2_000478,Hosaen Dispensary,Amhara,Bahir Dar,Zone 4,Dispensary,09656988351,10.731080683809738,47.613714812171345,Public,Hosaen Dispensary,Hosaen Dispensary,hosaen dispensary,H253,amhara,zone 4,bahir dar
DHIS2_000173,Dessie Hospital,Addis Ababa,Bole,Zone 3,Hospital,09257347699,4.8438964579333526,39.80540451907924,Public,Dessie Hospital,Dessie Hospital,dessie hospital,D221,addis ababa,zone 3,bole
DHIS2_000322,Hosaena Health Post,Oromia,Adama,Zone 4,Health Post,09594078592,8.407164227797608,46.94140041709671,NGO,Hosaena Health Post,Hosaena Health Post,hosaena health post,H254,oromia,zone 4,adama
DHIS2_000091,Dessie Referral Hospitalital,Amhara,Gondar,Zone 4,Referral Hospital,09638272916,10.269297832282646,36.558401876039916,Private,Dessie Referral Hospitalital,Dessie Referral Hospitalital,dessie referral hospitalital,D261,amhara,zone 4,gondar
DHIS2_000181,Nifas Silk Dispensary,Oromia,Modjo,Zone 2,Dispensary,09885530792,14.234546954924278,33.779569254772085,Private,Nifas Silk Dispensary,Nifas Silk Dispensary,nifas silk dispensary,N122,oromia,zone 2,modjo
DHIS2_000415,Nifas Silk Clinic,Addis Ababa,Nifas Silk,Zone 4,Clinic,09374283282,5.15106734289348,45.000052226455225,NGO,Nifas Silk Clinic,Nifas Silk Clinic,nifas silk clinic,N122,addis ababa,zone 4,nifas silk
DHIS2_000313,Addis Ababa Hospitalital,Oromia,Bishoftu,Zone 2,Hospital,09482098768,4.126287417880274,46.644402291548886,Public,Addis Ababa Hospitalital,Addis Ababa Hospitalital,addis ababa hospitalital,A321,oromia,zone 2,bishoftu
DHIS2_000279,Bahir Dar General Hospitalital,SNNPR,Hosaena,Zone 2,General Hospital,09836133385,5.963745588863998,46.59381870781555,Public,Bahir Dar General Hospitalital,Bahir Dar General Hospitalital,bahir dar general hospitalital,B636,snnpr,zone 2,hosaena
DHIS2_000382,Addis Ababa HP,Oromia,Adama,Zone 1,HP,09175030702,7.048081692204281,43.87471754886079,Private,Addis Ababa HP,Addis Ababa Health Post,addis ababa health post,A321,oromia,zone 1,adama
DHIS2_000473,Gonda Clinic,SNNPR,Hosaena,Zone 3,Clinic,09842833206,10.484917018368108,44.4345393675144,Private,Gonda Clinic,Gonda Clinic,gonda clinic,G532,snnpr,zone 3,hosaena
DHIS2_000363,Bahir Dar Dispensary,Amhara,Bahir Dar,Zone 4,Dispensary,09313641771,7.322807025605135,37.05589929576788,Private,Bahir Dar Dispensary,Bahir Dar Dispensary,bahir dar dispensary,B636,amhara,zone 4,bahir dar
DHIS2_000325,Hawassa Health Center,Amhara,Dessie,Zone 4,HC,09421044590,10.983505223736662,45.0053231853511,Public,Hawassa Health Center,Hawassa Health Center,hawassa health center,H243,amhara,zone 4,dessie
DHIS2_000432,Butajira General Hospitalital,Amhara,Bahir Dar,Zone 1,General Hospital,09832640051,5.391244037601609,46.16205069981723,Public,Butajira General Hospitalital,Butajira General Hospitalital,butajira general hospitalital,B326,amhara,zone 1,bahir dar
DHIS2_000348,Bol General Hospital,Amhara,Gondar,Zone 5,General Hospital,09153860083,14.472565723343198,36.00711773292604,Public,Bol General Hospital,Bol General Hospital,bol general hospital,B425,amhara,zone 5,gondar
DHIS2_000087,Hawassa Referral Hospitalital,Amhara,Bahir Dar,Zone 5,Referral Hospital,09190123510,9.391407197460278,36.63705755452094,Private,Hawassa Referral Hospitalital,Hawassa Referral Hospitalital,hawassa referral hospitalital,H261,amhara,zone 5,bahir dar
DHIS2_000076,Nifas Silk Health Post,SNNPR,Hosaena,Zone 3,Health Post,09617102173,9.24196201334392,45.7827225047781,Public,Nifas Silk Health Post,Nifas Silk Health Post,nifas silk health post,N122,snnpr,zone 3,hosaena
DHIS2_000439,Hosaen Referral Hospitalital,Amhara,Dessie,Zone 3,Referral Hospital,09172022454,3.3397352928320134,36.150440242744224,Private,Hosaen Referral Hospitalital,Hosaen Referral Hospitalital,hosaen referral hospitalital,H256,amhara,zone 3,dessie
DHIS2_000016,Gonda Dispensary,SNNPR,Hawassa,Zone 3,Dispensary,09454066131,4.265931117963247,39.848018557243655,Private,Gonda Dispensary,Gonda Dispensary,gonda dispensary,G533,snnpr,zone 3,hawassa
DHIS2_000250,Addis Ababa General Hospitalital,Addis Ababa,Addis Ketema,Zone 5,General Hospital,09121963776,11.16273335050024,33.625093509035764,NGO,Addis Ababa General Hospitalital,Addis Ababa General Hospitalital,addis ababa general hospitalital,A321,addis ababa,zone 5,addis ketema
DHIS2_000434,Gonda General Hospital,Amhara,Dessie,Zone 5,General Hospital,09318825150,13.061902006116298,45.07635477743494,Private,Gonda General Hospital,Gonda General Hospital,gonda general hospital,G532,amhara,zone 5,dessie
DHIS2_000020,Gondar General Hospitalital,Amhara,Mekelle,Zone 3,General Hospital,09134210512,8.966982070708625,37.513174647251546,Public,Gondar General Hospitalital,Gondar General Hospitalital,gondar general hospitalital,G536,amhara,zone 3,mekelle
DHIS2_000323,Butajira Hospital,Amhara,Mekelle,Zone 2,Hospital,09158491820,6.0980790502940305,43.11911779374324,NGO,Butajira Hospital,Butajira Hospital,butajira hospital,B326,amhara,zone 2,mekelle
DHIS2_000333,Kirkos Clinic,Oromia,Bishoftu,Zone 4,Clinic,09384042569,12.142881841588984,47.199666509903196,Private,Kirkos Clinic,Kirkos Clinic,kirkos clinic,K622,oromia,zone 4,bishoftu
DHIS2_000057,Gondar Health Post,Oromia,Bishoftu,Zone 4,HP,09561371106,9.881254657479433,42.477558182546986,Public,Gondar Health Post,Gondar Health Post,gondar health post,G536,oromia,zone 4,bishoftu
DHIS2_000302,Dessie Health Center,Addis Ababa,Addis Ketema,Zone 1,HC,09490021414,6.901248185180387,43.29490795029146,Public,Dessie Health Center,Dessie Health Center,dessie health center,D243,addis ababa,zone 1,addis ketema
DHIS2_000230,Kirkos Health Center,SNNPR,Hawassa,Zone 4,HC,09364915906,14.243493876372753,41.30703361068564,Private,Kirkos Health Center,Kirkos Health Center,kirkos health center,K622,snnpr,zone 4,hawassa
DHIS2_000332,Nifa Silk HP,Oromia,Adama,Zone 4,HP,09255570487,7.715690704143495,40.887188983099854,Public,Nifa Silk HP,Nifa Silk Health Post,nifa silk health post,N124,oromia,zone 4,adama
DHIS2_000133,Nifa Silk Health Center,Oromia,Modjo,Zone 1,HC,09669365444,7.759792476624652,47.3113040480945,Private,Nifa Silk Health Center,Nifa Silk Health Center,nifa silk health center,N124,oromia,zone 1,modjo
DHIS2_000138,Bahir Dar Clinic,Addis Ababa,Bole,Zone 5,Clinic,09120880726,12.100708967348178,42.58424078001393,Private,Bahir Dar Clinic,Bahir Dar Clinic,bahir dar clinic,B636,addis ababa,zone 5,bole
DHIS2_000424,Bahir Dar Clinic,Amhara,Dessie,Zone 3,Clinic,09316913462,10.881072761694686,47.52805997549838,Public,Bahir Dar Clinic,Bahir Dar Clinic,bahir dar clinic,B636,amhara,zone 3,dessie
DHIS2_000336,Modjo Referral Hospital,Amhara,Dessie,Zone 3,Referral Hospital,09313033349,14.107647960304028,39.2122533649234,Public,Modjo Referral Hospital,Modjo Referral Hospital,modjo referral hospital,M326,amhara,zone 3,dessie
DHIS2_000026,Dire Dawa General Hospitalital,Oromia,Dukem,Zone 4,General Hospital,09181450611,10.91980855241015,45.25833300301824,Public,Dire Dawa General Hospitalital,Dire Dawa General Hospitalital,dire dawa general hospitalital,D632,oromia,zone 4,dukem
DHIS2_000465,Bahir Dar Health Center,SNNPR,Hosaena,Zone 2,Health Center,09350076121,10.016017081989897,35.00475872115777,Private,Bahir Dar Health Center,Bahir Dar Health Center,bahir dar health center,B636,snnpr,zone 2,hosaena
DHIS2_000282,Kirkos Clinic,Amhara,Gondar,Zone 2,Clinic,09256389268,6.121893491544614,43.962314474710944,Public,Kirkos Clinic,Kirkos Clinic,kirkos clinic,K622,amhara,zone 2,gondar
DHIS2_000248,Hawassa Health Center,Addis Ababa,Bole,Zone 3,Health Center,09464254875,13.09045895311107,33.57639523443488,NGO,Hawassa Health Center,Hawassa Health Center,hawassa health center,H243,addis ababa,zone 3,bole
DHIS2_000238,Bahi Dar General Hospital,SNNPR,Hosaena,Zone 2,General Hospital,09328392993,4.824298237543777,33.920244406660025,Public,Bahi Dar General Hospital,Bahi Dar General Hospital,bahi dar general hospital,B362,snnpr,zone 2,hosaena
DHIS2_000118,Hawassa Referral Hospital,Oromia,Dukem,Zone 4,Referral Hospital,09675954738,8.289152963258738,39.01144591312989,Public,Hawassa Referral Hospital,Hawassa Referral Hospital,hawassa referral hospital,H261,oromia,zone 4,dukem
