facility_id,facility_name,facility_type,subtype,owner_type,settlement,is_phcu,status,operational_status,region,zone,woreda,city,kebele,latitude,longitude,altitude,dhis2_id,ethiopian_national_facility_id,catchment_population,number_of_inpatient_beds,number_of_maternity_beds,number_of_emergency_beds,number_of_opd_rooms,number_of_ipd_rooms,number_of_laboratory_rooms,number_of_imaging_rooms,number_of_mch_rooms,number_of_icu_rooms,phone,facility_owners_name,referral_linkage,reports_to,year_opened,created_at_text,_sdc_extracted_at,region_canonical,region_raw,facility_name_amharic_xlat,facility_name_expanded,facility_name_normalized,facility_name_phonetic,region_normalized,zone_normalized,woreda_normalized
1002360,Daylight Primary Clinic,Clinic,Primary Clinic,Private for profit,Urban,No,Approved,Operational,addis ababa,Lemi kura Sub city,Woreda 13,Addis Ababa,,,,,,101609-6,,,,,,,,,,,115514041,Day Light Applied Technic,,Lemi Kura Sub City,"መስከረም 15,2005","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Daylight Primary Clinic,Daylight Primary Clinic,daylight primary clinic,D423,addis ababa,lemi kura sub city,woreda 13
1002446,Dima Specialty Clinic,Specialty Clinic,Dental clinic,Public/Government,Urban,No,Approved,Operational,addis ababa,Lemi kura Sub city,Woreda 13,Yeka Sucity,,,,,,101695-5,,,,,,,,,,,911047467,Ato Habtom Gsilasie,,Lemi Kura Sub City,"የካቲት 16,2008","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Dima Specialty Clinic,Dima Specialty Clinic,dima specialty clinic,D521,addis ababa,lemi kura sub city,woreda 13
1002597,Dukber  Specialty Dental Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Closed,harari,Shenkor,,,5,,,,,101846-4,,,,,,,,,,,561221222,Doctor,,Shenkor Woreda ,"ኅዳር 21,2008","ሰኔ 21,2013",2026-05-22 00:13:20,harari,Harari Region,Dukber  Specialty Dental Clinic,Dukber  Specialty Dental Clinic,dukber specialty dental clinic,D216,harari,shenkor,
1002708,Ethio Internal Medicine Specialty Clinic,Specialty Clinic,Internal Medicine clinic,Private for profit,Urban,No,Approved,Closed,addis ababa,Kirkos Sub City,Woreda 8,,8,9.0184246,38.7689774,0.0,,101957-9,,2.0,,2.0,3.0,,,,,,115526928,Doctor Tesfaye Yilma,,Kirkos Sub City,"የካቲት 14,2011","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Ethio Internal Medicine Specialty Clinic,Ethio Internal Medicine Specialty Clinic,ethio internal medicine specialty clinic,E353,addis ababa,kirkos sub city,woreda 8
1003092,Hawa Obstetrics And Gynecology,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Closed,harari,Shenkor,,,10,8.53421,39.28613,,,102340-7,,,,,,,,,,,245676786,Dr Ayale,,Shenkor Woreda ,"ታኅሣሥ 25,2011","ሰኔ 21,2013",2026-05-22 00:13:20,harari,Harari Region,Hawa Obstetrics And Gynecology,Hawa Obstetrics And Gynecology,hawa obstetrics and gynecology,H123,harari,shenkor,
1003239,Yibra Drug Shop,Pharmacy,Drug Store,Private for profit,Urban,No,Pending,Operational,tigray,Western Zone,,,Setit,,,,,102487-6,,,,,,,,,,,914773097,,,,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Yibra Drug Shop,Yibra Drug Shop,yibra drug shop,Y163,tigray,western zone,
1003285,Ledeta Manufacturing college Primary Clinic,Clinic,Primary Clinic,Other Government,Urban,No,Approved,Operational,addis ababa,Lideta Sub City,Woreda 3,Addis Ababa,000,9.0164697,38.7302928,2308.0,,102533-7,,,,1.0,1.0,,,,,,112763713,govermmental,,Lideta Sub City,"ግንቦት 2,2010","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Ledeta Manufacturing college Primary Clinic,Ledeta Manufacturing college Primary Clinic,ledeta manufacturing college primary clinic,L335,addis ababa,lideta sub city,woreda 3
1003741,Munir NO.1 Medium Dental Clinic,Specialty Clinic,Dental Medium Clinic,Private for profit,Urban,No,Approved,Operational,addis ababa,Addis Ketema Sub City,Woreda 9,Addis Ababa,,9.03429,38.7279343,2467.19995117187,,102989-1,,,,,,,,,,,911212889,Munir Muhab Seid,,Addis Ketema Sub City,"ጥቅምት 12,2008","ሰኔ 21,2013",2026-05-22 00:13:20,addis ababa,Addis Ababa City Administration,Munir NO.1 Medium Dental Clinic,Munir NO.1 Medium Dental Clinic,munir no 1 medium dental clinic,M565,addis ababa,addis ketema sub city,woreda 9
1003979,Dr.tesfalem Specality Clinic,Specialty Clinic,Pediatric clinic,Private for profit,Urban,No,Approved,Operational,tigray,Mekelle Zone,Qedamay Woyane,mekelle,Hareya,,,,,103226-7,70000.0,,,,,,,,,,914701410,Dr' Tesfalem Hagos,,Qedamay Woyane Woreda,"ታኅሣሥ 1,2000","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Dr.tesfalem Specality Clinic,Dr.tesfalem Specality Clinic,dr tesfalem specality clinic,D632,tigray,mekelle zone,qedamay woyane
1004006,Elias Specialty Dental Clinic,Specialty Clinic,Dental Speciality Clinic,Private for profit,Urban,No,Approved,Operational,dire dawa,Legehare Operational,,,7,9.5916832,41.8643515,1203.0,,103253-1,,0.0,,2.0,2.0,,,,,,915730992,Elias Mengesha Woldemichael,,Legehare  Health Center,"ኅዳር 25,2012","ሰኔ 21,2013",2026-05-22 00:13:20,dire dawa,Dire Dawa City Administration,Elias Specialty Dental Clinic,Elias Specialty Dental Clinic,elias specialty dental clinic,E422,dire dawa,legehare operational,
1004072,Abdirabi Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Closed,oromia,Arsi zone,Dera Town,Dera,Dera,,,,,103317-4,,,,,,,,,,,993396983,Geru Husien ,,,"መስከረም 28,2015","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Abdirabi Drug Store,Abdirabi Drug Store,abdirabi drug store,A136,oromia,arsi zone,dera town
1004150,Mebrahtom Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,tigray,North West Zone,Asgede Woreda,,Dedebit,14.0706544,37.7629389,903.1,,103395-0,,,,,,,,,,,914887819,Mebrahtom Tadesse,,,"ሐምሌ 17,2008","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Mebrahtom Drug Store,Mebrahtom Drug Store,mebrahtom drug store,M163,tigray,north west zone,asgede woreda
1004182,Merzu Primary Hospital,Hospital,Primary Hospital,Public/Government,Urban,No,Pending,Operational,tigray,Western Zone,Tsegede Woreda,,Ketema-Nigus,13.39976,37.399535,,,103428-9,,,,,,,,,,,344350024,Government ,,Tsegede Woreda,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Merzu Primary Hospital,Merzu Primary Hospital,merzu primary hospital,M621,tigray,western zone,tsegede woreda
1004253,Mesfin Medium Clinic ,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,oromia,Buno Bedele Zone,Bedele Town,Bedele ,02,8.455953,36.3550442,2006.30004882812,,103499-0,36000.0,,,3.0,1.0,,1.0,2.0,1.0,,912050001,Dr Mesfin  Mengistu ,,Bedele Town Woreda,"መጋቢት 1,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Mesfin Medium Clinic ,Mesfin Medium Clinic ,mesfin medium clinic,M215,oromia,buno bedele zone,bedele town
1004305,Kafta Health Center,Health Center,Health Center,Public/Government,Rural,Yes,Pending,Operational,tigray,Western Zone,Kafta Humera Woreda,,Adihirdi,13.9033,37.13456,,,103550-0,,,,,,,,,,,910940127,,,Kafta Humera Woreda,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Kafta Health Center,Kafta Health Center,kafta health center,K134,tigray,western zone,kafta humera woreda
1004384,Garbi Yabelo Primary Clinc,Clinic,Primary Clinic,Private for profit,Urban,No,Approved,Operational,oromia,Borena Zone,Yabelo Town,Yabello Town,Garbi,,,,,103628-4,,,,,,,,,,,911944372,Umer Manka,,Yabelo Town,"ሐምሌ 2,2008","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Garbi Yabelo Primary Clinc,Garbi Yabelo Primary Clinc,garbi yabelo primary clinc,G611,oromia,borena zone,yabelo town
1004427,Agazi Basic imaging,ImagingCenters,Basic Diagnostic Imaging,Private for profit,Urban,No,Approved,Operational,tigray,Mekelle Zone,Semen,,Dedebit,13.49723,39.47502,,,103670-6,,,,,,,,,,,914700928,Dr' Mulugeta Yimesel,,,"የካቲት 8,2006","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Agazi Basic imaging,Agazi Basic imaging,agazi basic imaging,A221,tigray,mekelle zone,semen
1004465,Mankush Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,benishangul gumuz,Metekel Zone,Guba Woreda,Mankush,01,11.2688577,35.2874924,872.300048828125,,103707-6,,,,1.0,1.0,,,,,,923456666,Mohammed Abdu,,Guba Woreda,"መጋቢት 10,2009","ሰኔ 21,2013",2026-05-22 00:13:20,benishangul gumuz,Benishangul-Gumuz Region,Mankush Primary Clinic,Mankush Primary Clinic,mankush primary clinic,M522,benishangul gumuz,metekel zone,guba woreda
1004502,Senti Mariam Rural Drug Vender ,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Operational,tigray,North West Zone,Tsimbla woreda,,Debreabay,,,,,103745-6,,,,,,,,,,,914105674,Teshale Gebre,,,"መጋቢት 10,2014","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Senti Mariam Rural Drug Vender ,Senti Mariam Rural Drug Vender ,senti mariam rural drug vender,S535,tigray,north west zone,tsimbla woreda
1004511,Al Afiya Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Buno Bedele Zone,Gechi,Gechi,01,8.37087333333333,36.2471716666666,1969.3,,103754-8,5000.0,,,2.0,1.0,,,,1.0,,917822309,Mustefa  Negash ,,Gechi Woreda,"መጋቢት 7,2012","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Al Afiya Primary Clinic,Al Afiya Primary Clinic,al afiya primary clinic,A411,oromia,buno bedele zone,gechi
1004616,Sena medium Clinic,Clinic,Medium Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Arsi zone,Sude,Halila,01,8.0187307,39.8629434,2568.67895507812,,103860-3,,,,1.0,1.0,,,,,,901724499,Abay Yitina ,,Sude Woreda,"መጋቢት 27,2013","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Sena medium Clinic,Sena medium Clinic,sena medium clinic,S553,oromia,arsi zone,sude
1004645,Milki Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,East Borena Zone,Wachile Woreda,Wachile, Wachile,4.4961072,38.6558961,1261.79774283182,,103890-0,,,,,1.0,,,,,,911148435,Jebrel Oumar Hebo,,Wachile Woreda,"የካቲት 12,2009","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Milki Primary Clinic,Milki Primary Clinic,milki primary clinic,M421,oromia,east borena zone,wachile woreda
1004757,Anger Gute Health Center,Health Center,Health Center,Public/Government,Urban,Yes,Approved,Operational,oromia,East Wollega Zone,Anger Gute Town,Anger Gute,Anger Gute,9.5618177,36.6304782,0.0,,104002-1,37704.0,3.0,1.0,2.0,2.0,1.0,,,3.0,1.0,917837588,Government,,Anger Gute Town ,"ጥቅምት 27,1977","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Anger Gute Health Center,Anger Gute Health Center,anger gute health center,A526,oromia,east wollega zone,anger gute town
1004780,Anno Health Center ,Health Center,Health Center,Public/Government,Rural,Yes,Approved,Operational,oromia,Kelem Wollega Zone,Seyo,Anno,Anno Mikaa'el,8.5621791,34.8367696,1547.8,,104025-2,37339.0,3.0,1.0,1.0,2.0,1.0,,,1.0,,917647263,Government,,Seyo Woreda ,"ሰኔ 22,1997","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Anno Health Center ,Anno Health Center ,anno health center,A543,oromia,kelem wollega zone,seyo
1004897,Tao Primery Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Pending,Closed,tigray,Southern Zone,Raya Alamata Woreda,,Tao,,,,,104140-9,,,,,,,,,,,919047409,Asefa ,,Raya Alamata Woreda,"ኅዳር 7,2002","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Tao Primery Clinic,Tao Primery Clinic,tao primery clinic,T165,tigray,southern zone,raya alamata woreda
1004910,Gemechu Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Operational,oromia,Guji Zone,Odo Shakiso,Reji,Reji 01,5.6924976,38.8699358,1733.0,,104153-2,,,,1.0,1.0,,,,1.0,,911787937,Gemechu Seli Bali,,Odo Shakiso Woreda ,"የካቲት 5,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Gemechu Primary Clinic,Gemechu Primary Clinic,gemechu primary clinic,G521,oromia,guji zone,odo shakiso
1004912,Lema Drug Store,Pharmacy,Drug Store,Private for profit,Urban,No,Approved,Operational,tigray,North West Zone,Endabaguna Town,,Endabaguna 01,13.9501607,38.1841277,1765.90002441406,,104155-7,,,,,,,,,,,920863030,Lemma Mekonnen,,,"ጥር 17,1986","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Lema Drug Store,Lema Drug Store,lema drug store,L536,tigray,north west zone,endabaguna town
1005012,Selam Health Center (Welkayt),Health Center,Health Center,Public/Government,Rural,Yes,Pending,Operational,tigray,Western Zone,Wolkayit Woreda,,Awerki,14.154786,38.565684,,,104253-0,,,,,,,,,,,914473285,,,Welkayit Woreda,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Selam Health Center (Welkayt),Selam Health Center (Welkayt),selam health center welkayt,S454,tigray,western zone,wolkayit woreda
1005040,Ayana Primary Clinic,Clinic,Primary Clinic,Private for profit,Urban,No,Approved,Operational,oromia,East Borena Zone,Goro Dola Woreda,Darara,Guduba,,,,,104281-1,,,,,,,,,,,977688980,Turusaw Abate,,Goro Dola Woreda,"ታኅሣሥ 10,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Ayana Primary Clinic,Ayana Primary Clinic,ayana primary clinic,A516,oromia,east borena zone,goro dola woreda
1005081,Dedebit Drug Store,Pharmacy,Drug Store,Private for profit,Rural,No,Approved,Currently Not Operational,tigray,North West Zone,Asgede Woreda,,Dedebit,,,,,104322-3,,,,,,,,,,,914230052,Gebremedhin Gebrezgher,,,"ግንቦት 14,2014","ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Dedebit Drug Store,Dedebit Drug Store,dedebit drug store,D313,tigray,north west zone,asgede woreda
1005144,Ethio_Agri Safe Primary Clinic,Clinic,Institution based clinics,Private Not for profit,Rural,No,Pending,Operational,tigray,Western Zone,Kafta Humera Woreda,,Maykadra,,,,,104384-3,,,,,,,,,,,914721142,,,Kafta Humera Woreda,,"ሰኔ 21,2013",2026-05-22 00:13:20,tigray,Tigray Region,Ethio_Agri Safe Primary Clinic,Ethio_Agri Safe Primary Clinic,ethio_agri safe primary clinic,E326,tigray,western zone,kafta humera woreda
1005176,Bark medium  Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Operational,oromia,Arsi zone,Shirka,Gobesa,01,7.6190335,39.4934494,2405.162,,104415-5,,,3.0,2.0,2.0,,1.0,,1.0,,967224049,Berk Buhe Ibrahim,,Sirka Woreda ,"ጳጉሜን 2,2007","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Bark medium  Clinic,Bark medium  Clinic,bark medium clinic,B625,oromia,arsi zone,shirka
1005301,Shelo Balela Health Center,Health Center,Health Center,Public/Government,Rural,Yes,Approved,Operational,oromia,West Arsi Zone,Siraro,Balela,Balela Shelo,6.9462325,38.2378279,1844.0,,104539-2,18998.0,0.0,4.0,1.0,1.0,1.0,1.0,,5.0,,972831246,Government,,Siraro Woreda ,"መጋቢት 2,2015","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Shelo Balela Health Center,Shelo Balela Health Center,shelo balela health center,S414,oromia,west arsi zone,siraro
1005337,Birhanu Primary Clinic,Clinic,Primary Clinic,Private for profit,Rural,No,Approved,Closed,oromia,Guji Zone,Odo Shakiso,Alona,Alona 01,5.8907883,38.8053453,0.0,,104575-6,,,,2.0,1.0,,,,,,966902351,Asirat Bekele Tamirat,,Odo Shakiso Woreda ,"ታኅሣሥ 17,2005","ሰኔ 21,2013",2026-05-22 00:13:20,oromia,Oromia Region,Birhanu Primary Clinic,Birhanu Primary Clinic,birhanu primary clinic,B651,oromia,guji zone,odo shakiso
1005434,Beteseb Medium Clinic,Clinic,Medium Clinic,Private for profit,Urban,No,Approved,Closed,sidama,Southern Zone,Aleta Wondo Town Administration,Aleta Wondo,Mesalemya,,,,,104670-5,,,,,,,,,,,916865455,Kinira Geta,,Aleta Wondo Town,"መስከረም 17,2003","ሰኔ 21,2013",2026-05-22 00:13:20,sidama,Sidama Region,Beteseb Medium Clinic,Beteseb Medium Clinic,beteseb medium clinic,B321,sidama,southern zone,aleta wondo town administration
